317, 107, 48, 100, 0.951818, -1
7, 140, 166, 262, 0.929673, -1
454, 75, 130, 184, 0.857252, -1
0, 190, 239, 165, 0.430821, -1
82, 171, 131, 226, 0.373940, -1
449, 123, 99, 119, 0.261417, -1
414, 122, 171, 268, 0.118708, -1
421, 150, 167, 69, 0.118125, -1
138, 162, 184, 232, 0.048712, -1
0, 236, 311, 166, 0.032128, -1
491, 154, 90, 236, 0.019951, -1
15, 137, 57, 101, 0.019115, -1
271, 191, 40, 42, 0.018962, -1
185, 122, 216, 264, 0.018462, -1
386, 122, 58, 79, 0.017841, -1
287, 124, 91, 70, 0.015052, -1
141, 187, 234, 109, 0.014553, -1
259, 189, 45, 67, 0.014195, -1
370, 236, 217, 166, 0.012766, -1
211, 191, 258, 102, 0.012463, -1
427, 207, 162, 48, 0.011469, -1
193, 273, 58, 102, 0.011253, -1
459, 223, 129, 58, 0.010653, -1
406, 167, 106, 235, 0.009888, -1
205, 202, 178, 58, 0.008806, -1
131, 312, 170, 59, 0.008449, -1
514, 226, 58, 110, 0.007815, -1
300, 237, 208, 165, 0.006956, -1
294, 114, 152, 262, 0.005975, -1
372, 136, 49, 64, 0.005745, -1
136, 226, 313, 175, 0.005528, -1
151, 164, 73, 218, 0.005385, -1
422, 208, 40, 106, 0.004966, -1
249, 186, 330, 210, 0.004735, -1
407, 228, 40, 85, 0.004432, -1
428, 161, 147, 141, 0.004365, -1
18, 170, 435, 209, 0.003821, -1
275, 187, 59, 62, 0.003504, -1
359, 111, 217, 149, 0.002657, -1
391, 221, 169, 57, 0.002612, -1
78, 194, 267, 144, 0.001647, -1
141, 214, 86, 76, 0.001298, -1
251, 183, 119, 219, 0.001201, -1
338, 97, 149, 261, 0.001129, -1
256, 169, 43, 67, 0.001107, -1
410, 122, 80, 191, 0.001038, -1
386, 79, 151, 279, 0.000931, -1
471, 249, 123, 153, 0.000723, -1
344, 183, 230, 152, 0.000665, -1
37, 234, 233, 48, 0.000531, -1
322, 209, 179, 55, 0.000410, -1
52, 147, 218, 165, 0.000337, -1
290, 79, 181, 149, 0.000325, -1
117, 283, 193, 72, 0.000248, -1
8, 178, 77, 171, 0.000226, -1
286, 14, 89, 195, 0.000203, -1
197, 67, 165, 192, 0.000168, -1
12, 90, 93, 274, 0.000142, -1
109, 135, 302, 145, 0.000089, -1
92, 229, 233, 66, 0.000073, -1
120, 30, 215, 162, 0.000048, -1
149, 58, 155, 200, 0.000026, -1
250, 266, 199, 77, 0.000013, -1
107, 70, 143, 200, 0.000005, -1
400, 27, 180, 184, 0.000005, -1
326, 12, 229, 121, 0.000004, -1
246, 38, 196, 152, 0.000003, -1
29, 95, 118, 223, 0.000001, -1
185, 17, 322, 111, 0.000000, -1
27, 28, 86, 143, 0.000000, -1
53, 4, 134, 116, 0.000000, -1
57, 44, 126, 134, 0.000000, -1
