220, 52, 314, 579, 0.912371, -1
268, 13, 166, 654, 0.797429, -1
565, 85, 308, 533, 0.464245, -1
721, 232, 120, 191, 0.351769, -1
174, 116, 605, 509, 0.069445, -1
72, 212, 437, 435, 0.058172, -1
127, 300, 195, 329, 0.040133, -1
668, 149, 297, 484, 0.030086, -1
528, 53, 179, 560, 0.004537, -1
64, 126, 274, 491, 0.003894, -1
174, 23, 281, 431, 0.003876, -1
377, 89, 287, 470, 0.003266, -1
430, 210, 419, 454, 0.003036, -1
190, 306, 227, 340, 0.002267, -1
706, 295, 224, 376, 0.001669, -1
32, 308, 243, 339, 0.001040, -1
242, 17, 244, 304, 0.000738, -1
780, 24, 243, 623, 0.000608, -1
145, 0, 318, 242, 0.000519, -1
796, 0, 227, 350, 0.000119, -1
552, 23, 423, 398, 0.000106, -1
296, 235, 254, 434, 0.000101, -1
0, 205, 124, 433, 0.000081, -1
942, 117, 81, 560, 0.000070, -1
449, 67, 364, 443, 0.000031, -1
321, 54, 264, 370, 0.000027, -1
16, 0, 427, 334, 0.000021, -1
629, 0, 267, 291, 0.000017, -1
0, 21, 169, 568, 0.000015, -1
414, 176, 117, 138, 0.000013, -1
174, 314, 495, 347, 0.000013, -1
398, 0, 488, 268, 0.000012, -1
0, 0, 211, 313, 0.000010, -1
354, 38, 339, 301, 0.000009, -1
869, 241, 154, 436, 0.000009, -1
931, 0, 92, 476, 0.000006, -1
52, 0, 243, 491, 0.000003, -1
676, 0, 347, 221, 0.000002, -1
